name,state,country,latitude,longitude,population
Leiria,,,39.7440386,-8.8072101,50000
Bragança,,,41.8071182,-6.7589839,50000
Faro,,,37.0162731,-7.9352448,50000
Angra do Heroismo,,Portugal,38.6593516,-27.219544,50000
Funchal,,Portugal,32.647002,-16.9095257,50000
Aveiro,,,40.6411635,-8.6537146,50000
Ponta Delgada,,Portugal,37.7463058,-25.6668573,50000
Dortmund,,Germany,51.5142273,7.4652789,50000
Lübeck,,Germany,53.8664436,10.6847384,50000
St Albans,,,51.7492956,-0.3422526,50000
Frederiksberg,,,55.678016,12.5326186,50000
Port Elizabeth,,,-33.9434595,25.5327401,50000
Wolverhampton,,,52.5847651,-2.127567,50000
Pretoria,North West,South Africa,-25.725,28.1847222,50000
Växjö,,,56.8787183,14.8094385,50000
Szekszárd,,,46.3484884,18.701663,50000
Gentofte,,,55.7459656,12.5510249,50000
Coimbra,,,40.2109801,-8.4292057,50000
Porto,,,41.1482464,-8.6110231,50000
Legazpi,,Philippines,13.1376189,123.734311,50000
Arad,,,46.1753793,21.3196342,50000
Casablanca,,,33.596439,-7.6179071,50000
Uppsala,,,59.8594126,17.64112,50000
Würzburg,,Germany,49.79245,9.9329662,50000
Newcastle,,Australia,-32.9272881,151.7812534,50000
Ankara,,,39.9220794,32.853758,50000
Edirne,,,41.6760188,26.5586792,50000
Çanakkale,,,40.1500808,26.4148869,50000
Kırklareli,,,41.7370223,27.2235523,50000
Balıkesir,,,39.6473592,27.8878824,50000
Aydın,,,37.8395014,27.8443082,50000
Muğla,,,37.2151744,28.3637015,50000
Adapazarı,,,40.7786486,30.3996608,50000
Afyonkarahisar,,,38.7579642,30.5346872,50000
Bilecik,,,40.1435101,29.9752911,50000
Bolu,,,40.7360624,31.60712,50000
Burdur,,,37.7248394,30.2887286,50000
Denizli,,,37.7725246,29.0838956,50000
Düzce,,,40.8422778,31.1569975,50000
Eskişehir,,,39.7688564,30.5216465,50000
Konya,,,37.8721979,32.48411,50000
Kütahya,,,39.4207301,29.9809917,50000
Manisa,,,38.6155029,27.4255716,50000
Uşak,,,38.6810732,29.4033271,50000
Yalova,,,40.6556669,29.2729091,50000
Kaposvár,,,46.3560953,17.7877874,50000
Stockholm,,Sweden,59.3251172,18.0710935,50000
Gothenburg,,,57.7072326,11.9670171,50000
Tehran,,,35.6884243,51.4179604,50000
Espoo,,,60.2241869,24.6603626,50000
Karlstad,,,59.3799136,13.5029449,50000
Coffs Harbour,,Australia,-30.2962407,153.1135293,50000
Žilina,,,49.2234851,18.7392683,50000
Trenčín,,,48.8923583,18.0393715,50000
Prešov,,,48.997631,21.2401873,50000
Trnava,,,48.3767652,17.5858175,50000
Banská Bystrica,,,48.7384028,19.1573494,50000
Mashhad,,,36.2981864,59.6048089,50000
Tabriz,,,38.0773948,46.2891614,50000
Qazvin,,,36.2804074,50.006663,50000
Qom,,,34.6434673,50.8769624,50000
Shiraz,,,29.6130192,52.532674,50000
Ahvaz,,,31.3276978,48.6756129,50000
Harrisburg,,,40.2663107,-76.8861122,50000
Kyiv,,,50.4499875,30.5234937,50000
Chernihiv,,,51.494099,31.294332,50000
Odesa,,,46.4713468,30.7296333,50000
Lviv,,,49.8419505,24.0315968,50000
Homieĺ,,,52.4238936,31.0131698,50000
Minsk,,,53.9022756,27.5618753,50000
